trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,4,-25.124712512146502,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,11,18.028679201156603,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-33.828439733168764,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,0.007025987687119262,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,-27.640656039623103,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,1,-71.85403208001917,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-27.10443149756801,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,12,14.104083349405236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-115.16239926064348,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,8,-2.876085342128329,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,2,13.259402935281312,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",30,0,-111.20193496364618,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
